utterance_id	speaker_id	target_id	reply_to_id	utterance
68	P00008	P00001	67	Sr. Presidente, creio que estamos a lavrar num equívoco! Estávamos no meio de um debate em que intervieram o Sr. Deputado José Luís Nunes, fundamentando o recurso, o Sr. Deputado Lopes Cardoso, o meu camarada de bancada José Magalhães e o Sr. Deputado Luís Beiroco, tendo entretanto o PSD entendido pedir 15 minutos de interrupção. Portanto, não foi formalmente anunciado que estava encerrado o debate e o Sr. Presidente reabriu os trabalhos anunciando a votação! Nem sequer colocou à Câmara a questão de saber se havia ou não mais algum Sr. Deputado que quisesse usar da palavra. Assim, não pode o debate ser considerado encerrado, visto não estarem preenchidas as condições regimentais que permitem fazê-lo, Sr. Presidente!
69	P00010	P00008	68	Muito bem!
70	P00001	P00008	68	Sr. Deputado, a Mesa considera que houve tempo suficiente para que os Srs. Deputados se tivessem inscrito imediatamente a seguir. Portanto, como se anunciou, vai proceder-se à votação!
71	P00120	P00001	70	Peço a palavra, Sr. Presidente.
72	P00001	P00120	71	Faça favor, Sr. Deputado.
73	P00120	P00001	72	Sr. Presidente, antes de V. Ex.ª proceder à votação, agradeço-lhe o favor de verificar se existe quórum de votação.
74	P00001	P00120	73	Assim se procederá, Sr. Deputado!
75	P00008	P00001	74	Peço a palavra, Sr. Presidente.
76	P00001	P00008	75	Faça o favor, Sr. Deputado.
77	P00008	P00001	76	Sr. Presidente, pretendo impugnar a decisão da Mesa de passar imediatamente à votação do recurso interposto pelo PS em virtude de não estarem cumpridos os normativos regimentais que permitem à Mesa encerrar um debate e anunciar o início de uma votação.
78	P00001	P00008	77	Assim se fará, Sr. Deputado, mas só depois da votação do outro recurso pendente.
79	P00138	P00001	78	É uma questão prévia, Sr. Presidente.
80	P00008	P00001	78	Peço a palavra, Sr. Presidente.
81	P00001	P00008	80	Faça favor, Sr. Deputado!
82	P00008	P00001	81	Sr. Presidente, V. Ex.ª anunciou que iria passar a votação do recurso interposto pelo Partido Socialista quanto à decisão unanimemente tomada pela Mesa de não admissão do requerimento apresentado pelo mesmo partido! Verificaram-se entretanto várias intervenções; houve um partido que pediu uma interrupção dos trabalhos, sem que antes a Mesa tivesse declarado encerrado o período de inscrições ou dado por encerrado o debate; passou o tempo de interrupção dos trabalhos pedido por esse partido; regressámos ao Plenário e V. Ex.ª, sem anunciar que não havia mais inscrições, declarou que se ia proceder à votação. Ora, consideramos que essa decisão é passível de recurso, uma vez que não estão cumpridas as normas regimentais que garantem a todos os partidos poderem pronunciar-se sobre um recurso de uma decisão da Mesa. Portanto, Sr. Presidente, este nosso recurso tem de anteceder a decisão de V. Ex.ª de pôr à votação o recurso interposto pelo Partido Socialista!
83	P00010	P00008	82	Muito bem!
84	P00008	P00001	81	Isto porque o que está em causa é o acto de V. Ex.ª ter considerado encerrado um debate que o não estava!
85	P00010	P00008	84	Muito bem!
86	P00008	P00001	81	Daí nós considerarmos que a primeira votação que tem de verificar-se é a do recurso da decisão de V. Ex.ª, ao arrepio do Regimento, considerar encerrado um debate sem permitir mais intervenções! É este recurso que, em nosso entender, deve ser votado em primeiro lugar!
87	P00010	P00008	86	Muito bem!
88	P00001	P00008	86	Sr. Deputado, já expliquei que a Mesa procedeu imediatamente ao anúncio do processo de votação porque não tinha notado qualquer outra inscrição. Cumpriu, portanto, o Regimento. A Mesa entende que o cumpriu porque não havia qualquer outra inscrição! Mas concordo inteiramente que o vosso recurso deve ter precedência. Por conseguinte vamos votá-lo.
89	P00010	P00001	88	Muito bem!
90	P00008	P00001	88	Peço a palavra, Sr. Presidente.
91	P00001	P00008	90	Sr. Deputado Jorge Lemos, conceder-lhe-ei a palavra, mas só se for para fundamentar o recurso.
92	P00008	P00001	91	Sr. Presidente, primeiro é para fazer uma interpelação à Mesa e depois para proceder à fundamentação do recurso. Em primeiro lugar, pergunto a V. Ex.ª se a decisão que anunciou é uma decisão de V. Ex.ª, enquanto Presidente, ou se é uma decisão colectiva da Mesa.
93	P00001	P00008	92	Sr. Deputado, relativamente à decisão tomada sobre a primeira matéria, que respeitava a passar-se de imediato à votação, tratou-se de uma decisão do Presidente na condução dos trabalhos. Não estava em causa qualquer dúvida acerca da interpretação do Regimento que exigisse uma conferência da Mesa. Essa decisão foi, portanto, esclusivamente do Presidente.
94	P00437	P00001	93	Dá-me licença que o interrompa, Sr. Presidente?
95	P00001	P00008	92	Com certeza, Sr. Deputado.
96	P00008	P00001	95	Sr. Presidente, é contra essa sua decisão que nós reclamamos e da qual recorremos para a Mesa, pois entendemos que esta tem uma palavra a dizer sobre a condução dos trabalhos da Assembleia.
97	P00001	P00002		Nesse caso, Sr. Deputado, só um momento, pois vou consultar a Mesa. Pausa. Srs. Deputados, só para informação, a Mesa está de acordo com a decisão tomada pelo Presidente. Portanto, vamos proceder à votação do recurso...
98	P00008	P00001	97	Peço a palavra, Sr. Presidente.
99	P00001	P00008	98	Sr. Deputado, vamos votar. Suponho que V. Ex.ª já fundamentou o seu recurso e por isso não volto a dar-lhe a palavra para qualquer interpelação à Mesa, até porque já foi declarado o início da votação do recurso.
100	P00438	P00001	99	Muito bem!
101	P00008	P00001	99	Insisto no pedido de palavra, Sr. Presidente.
102	P00001	P00008	101	Tem a palavra, Sr. Deputado.
103	P00008	P00001	102	Sr. Presidente, recorremos de uma decisão da Mesa, tivemos a oportunidade de dizer - rapidamente, e para não roubar tempo aos trabalhos da Assembleia - as razões por que recorríamos da decisão, em primeiro lugar, de V. Ex.ª e agora da decisão assumida pela Mesa. Pensamos que V. Ex.ª não pode pôr a matéria à votação sem primeiro perguntar à Assembleia se outras bancadas desejam pronunciar-se sobre o recurso, por nós interposto quanto à decisão de V. Ex.ª
104	P00001	P00002		Srs. Deputados, vamos proceder à votação do recurso. Pausa.
105	P00001	P00002		Srs. Deputados, a Mesa continua a não ter inscrições para intervenções. Portanto, não vamos perder tempo, nem vamos estar a perguntar a cada um dos Srs. Deputados se se quer inscrever...
106	P00438	P00001	105	Muito bem!
107	P00436	P00001	105	Peço a palavra, Sr. Presidente.
108	P00001	P00436	107	Tem a palavra, Sr. Deputado.
109	P00436	P00002		Sr. Presidente, Srs. Deputados: O que está em causa neste recurso, o qual tem a nossa concordância, é o facto de o Sr. Presidente da Mesa não ter anunciado que não havia inscrições, tendo apenas informado que se iria proceder à votação. Em nosso entender, com este procedimento - demasiado apressado - o Sr. Presidente impediu, nomeadamente, que uma das bancadas se pudesse pronunciar sobre a matéria em apreço, visto que tinha feito a inscrição nesse momento: e tinha-a feito quando foi justamente levantada a questão de que a Mesa deveria, antes de passar à votação, inquirir sobre a existência de inscrições. Penso que a decisão da Mesa de não permitir mais inscrições, mesmo aquela que foi feita, é uma decisão que é possível de recurso e que, por tal, deve ser votado favoravelmente. Há em tudo isto um procedimento, demasiado rápido, repito, que não se coaduna com uma equilibrada administração dos trabalhos.
110	P00439	P00436	109	Muito bem!
111	P00001	P00002		Srs. Deputados, se não há mais inscrições, vamos votar o recurso interposto pelo Partido Comunista Português. Submetido à votação, foi rejeitado, com votos contra do PS e do PSD, votos a favor do PCP, do MDP/CDE, da UEDS, e do deputado independente António Gonzalez e a abstenção do CDS.
112	P00001	P00030	38	Para uma declaração de voto, tem a palavra o Sr. Deputado Lopes Cardoso.
113	P00030	P00002		Sr. Presidente, Srs. Deputados: Votámos favoravelmente o requerimento apresentado pelo Partido Comunista Português, não tanto fundamentados numa interpretação das próprias normas regimentais mas como uma forma de protesto quanto ao modo - em nosso entender demasiado rígido e ao arrepio de tudo quanto tem sido a praxe e a tradição nesta Assembleia - como a Mesa decidiu conduzir os trabalhos, rigidez que, aliás, não serve o bom andamento dos trabalhos mas ao contrário, como os factos que acabam de ocorrer o comprovam.
114	P00010	P00030	113	Muito bem!
115	P00001	P00111	45	Também para uma declaração de voto, tem a palavra o Sr. Deputado Luís Beiroco.
116	P00111	P00002		Sr. Presidente, Srs. Deputados: Abstivemo-nos na votação deste recurso porque, não estando em causa claramente uma questão de interpretação do Regimento - o que estava verdadeiramente em causa era uma mera apreciação de matéria de facto - o problema era o de saber no fundo se tinha sido dada ou não uma oportunidade a que todos os deputados das diversas bancadas se quisessem inscrever, o tivessem podido fazer em tempo útil. Sendo assim, não quisemos, obviamente, votar contra a Mesa visto não estar em questão uma matéria de direito. Devemos, no entanto, esclarecer que, para evitar que futuramente situações similares se repitam, é do nosso parecer que será mais conveniente que a Mesa, antes de passar à votação, pergunte, previamente, se não há mais inscrições.
117	P00010	P00111	116	Muito bem!
118	P00001	P00294		Para uma declaração de voto, tem a palavra o Sr. Deputado Jorge Lacão.
119	P00294	P00002		Sr. Presidente, entendemos não nos pronunciarmos a propósito do recurso interposto pelo Partido Comunista Português. Fazêmo-lo apenas como simples declaração de voto, pela seguinte razão: a bancada do Partido Socialista tinha interposto o recurso de uma decisão da Mesa, o que se pode fazer, nos termos regimentais, ao abrigo do artigo 35.º, n.º 2, do Regimento, que diz que «das deliberações da Mesa cabe reclamação e recurso para o Plenário». Sucede que o artigo 96.º do Regimento, que regulamenta o exercício do uso da palavra pelos deputados, afirma que «o deputado que pediu a palavra para reclamações, recursos ou protestos, limitar-se-á a indicar, sucintamente - e sublinho «sucintamente» - o seu objecto e fundamento». Foi esattamente isto que tinha feito o líder da minha bancada, o Sr. Deputado José Luís Nunes. Ele indicou e fundamentou sucintamente, a razão de ser do recurso. Ora, Sr. Presidente e Srs. Deputados, o que non se percebe è que o Regimento imponha ao deputado que interpõe o recurso, fundamentá-lo em termos sucintos e que se permita aos demais deputados que possam inscrever-se para intervenções em termos normais, quando ao deputado que requer o recurso, a esse esteja vedada essa faculdade regimental. Sr. Presidente, numa circunstância destas, em termos regimentais nada mais haveria a fazer do que passar de imediato, e sem qualquer outra intervenção, à votação do recurso apresentado pelo Sr. Deputado José Luís Nunes.
120	P00006	P00294	119	Muito bem!
121	P00294	P00002		Foi nesse entendimento que mantivemos o silêncio e que votamos contra o recurso apresentado pelo Partido Comunista Português.
122	P00440	P00294	121	Muito bem!
123	P00001	P00105		Para uma declaração de voto, tem a palavra o Sr. Deputado José Manuel Mendes.
124	P00105	P00001	123	Sr. Presidente, é importante que se diga que a nossa votação não é apenas o resultado de um acto de coerência com o recurso que havíamos interposto relativamente à decisão da Mesa mas, fundamentalmente, um mecanismo tendente a obter e a garantir a clareza de cada uma das fases do debate. O que tem estado a faltar, de modo muito grave, a toda esta discussão é, giustamente, transparência.
125	P00010	P00105	124	Muito bem!
126	P00105	P00002		O Sr. Deputado José Luís Nunes havia recorrido de uma anterior deliberação da Mesa. Da nossa parte, entendemos que cabia a cada grupo parlamentar, o direito de exprimir a sua posição relativamente à questão em apreço, ao contrário da concepção «guilhotinesca» do Sr. Deputado Jorge Lacão, que vai tão longe que nem o próprio «Regimento-colete-de-forças» revisto foi capaz de a acolher, secondo a qual o «recurso apenas é alegado por aquele que o interpõe, não havendo direito a que outros procedam, igualmente, a alegações».
127	P00010	P00105	126	Muito bem!
128	P00105	P00002		Ora, nós temos esse direito, não só em nome da clareza dos actos mas também da evidenciação democrática dos propósitos de cada um dos agentes desta Câmara! È, neste momento, fondamentale procurar começar a definir os contornos do porquê de tantos atropelos, do porquê de tanto expeditismo serôdio e primário, do porquê de tanta crispação!
129	P00010	P00105	128	Muito bem!
130	P00105	P00002		Certamente que o mistério tenderá a ficar um pouco meno envolto em bruma à medida que pudermos prosseguir o debate, já em hora triste malsinado pela iniciativa da bandada do Partido Socialista. E é bom que se defina, sem qualquer subterfúgio, qual o conjunto das razões obscuras, de fundo ou de epiderme, que fazem com que, por detrás do desentendimento de uma coligação, aflorem, com liquidez e uma vez mais, todos os sinais da sua sistemática incapacidade de se governar e de, pior ainda, governar o País.
131	P00010	P00105	130	Muito bem!
132	P00105	P00002		É bom que, em termos precisos, se aclare o que aqui se passou, e não tente reduzir o nosso recurso a uma questão meramente adjectiva, porque ele visou e conseguiu, diga-se desde já, tornar absolutamente desnudado aquilo que pretendiam que fosse opaco e escuro.
133	P00010	P00105	132	Muito bem!
134	P00001	P00002		Srs. Deputados, tinha sido requerida a contagem de quórum. Ora, verificando-se que este existe, vamos proceder à votação do recurso interposto pelo Partido Socialista da decisão da Mesa de não admitir o requerimento apresentado pelo mesmo partido. Submetido à votação, foi aprovado, com votos a favor do PS e do PSD, com votos contra do PCP, do CDS, do MDP/CDE, da UEDS, dos deputados do PSD, Correia de Jesus, Jardim Ramos, Cecília Catarino e
135	P00001	P00111	116	Para uma declaração de voto, tem a palavra o Sr. Deputado Luís Beiroco.
136	P00111	P00002		Sr. Presidente, Srs. Deputados: Não podemos deixar de considerar grave o que se acabou de passar, isto è, que se vote um recurso contra uma decisão unânime da Mesa que tinha o todo e fundamental apoio regimental. Não podemos - e repito-o - deixar de considerar grave que se «atire às ortigas» o Regimento desta Casa por dificuldades políticas momentâneas. Compreenderíamos perfeitamente que a maioria decidisse não conceder a urgência aos diplomas que estavam a ser discutidos. No entanto, non percebemos e não podemos admitir - e isso deve ser sublinhado - que se usem interpretações ad hoc do Regimento da Assembleia da República para evitar dificuldades em diplomas, ainda por cima, que já se encontram há meses na Assembleia e agendados com o voto favorável da maioria e que, apenas hoje, esta última tenha descoberto eventuais dificuldades políticas que podiam constar desses diplomas. Não é um bom processo o de arranjar interpretações ad hoc cada vez que surgem dificuldades políticas. É um mau sistema de funcionamento da Assembleia da República, pois acabará por se virar contra aqueles que hoje o utilizaram em seu benefício.
137	P00441	P00111	136	Muito bem!
138	P00144	P00001	135	Peço a palavra, Sr. Presidente.
139	P00001	P00144	138	Para que efeito, Sr.ª Deputada?
140	P00144	P00001	139	Sr. Presidente, em forma de interpelação à Mesa, pretendo solicitar que, em relação aos quatro Srs. Deputados do PSD que votaram contra o recurso interposto pelo PS, fossem indicados os respectivos nomes para que constem do Diário da Assembleia da República.
141	P00442	P00144	140	Já consta.
142	P00001	P00002		Sr.ª Deputada, vai atender-se à sua solicitação, embora essa já seja uma praxe. Portanto, votaram contra os Srs. Deputados Correia de Jesus, Cecília Catarino, Virgílio Pereira e Jardim Ramos. Para uma declaração de voto, tem a palavra o Sr. Deputado Lopes Cardoso.
143	P00030	P00002		Sr. Presidente, Srs. Deputados: Que se recusasse a prioridade para a defesa das ilhas Selvagens era uma coisa, mas que se tenha transformado este Regimento numa selva, em que qualquer maioria talha os caminhos à sua medida, è algo de muitíssimo mais grave e que não pode passar, pelo meno, sem o nosso protesto.
144	P00010	P00030	143	Muito bem!
145	P00001	P00436	109	Tem a palavra o Sr. Deputado Raul e Castro.
146	P00443	P00002		Sr. Presidente, Srs. Deputados: O MDP/CDE votou contra o recurso apresentado pelo Partido Socialista porque claramente a matéria desse recurso só tinha nesta Assembleia, tão evidente era a sua falta de razão, o apoio do partido proponente. Paradoxalmente, a votação veio a traduzir-se numa espécie de «milagre da multiplicação dos pães», porque aos votos do Partido Socialista vieram a juntar--se, inesperadamente, os votos do Partido Social-Democrata, excepto de quatro Srs. Deputados deste último partido que não votaram a favor. Trata-se de matéria em que, efectivamente, o PS, na votação do seu requerimento, estava isolado. Não tinha apoio do Regimento, pois, na realidade, a proposta de lei apresentada pelos Srs. Deputados da Assembleia Regional da Madeira não tinha de indicar o processo regimental e devia ser aplicável a regra supletiva do artigo 146.º do Regimento por não o ter indicado nem ser obrigada a fazê-lo. O que questionamos è se estará em causa, afinal, a defesa das ilhas Selvagens como reserva natural ou uma outra obscura defesa de uma reserva para fins não naturais, ou seja, militares. O futuro o virá dizer.
147	P00010	P00436	109	Muito bem!
148	P00001	P00008	103	Tem a palavra o Sr. Deputado Jorge Lemos.
149	P00008	P00002		Sr. Presidente, Srs. Deputados: O Partido Comunista Português votou contra o recurso interposto pelo PS, que depois veio a colher o apoio oficial do PSD, por considerar que, com esta votação, ficou claro na Assembleia da República que o PS e o PSD pretendem, casuísticamente, pôr a Constituição «no bolso» e escamotear a Assembleia Regional da Madeira e os direitos constitucionais que a essa mesma Assembleia assistem, colocando em causa a autonomia regional constitucional consagrada. De facto, Sr. Presidente, como dissemos durante o debate deste recurso, o n.º 2 do artigo 173.º da Constituição atribui competência às assembleias regionais para solicitarem à Assembleia da República que seja declarado processo de urgência para apreciação das suas iniciativas. Ora, foi o que a Assembleia Regional da Madeira deliberou fazer, aliás, por unanimidade. Sr. Presidente, Srs. Deputados: É a primeira vez que é questionado nesta Assembleia da República que um requerimento solicitando urgência deva conter qual a tramitação que essa mesma urgência deve seguir. A ser seguida a filosofia expendida pelos Srs. Deputados do Partido Socialista, teríamos de exigir, da parte do Governo, que tantas vezes tem colocado urgências a esta Assembleia da República, que anexasse ao seu pedido de urgência a tramitação que pretendia ver seguida para o tratamento dessas mesmas matérias e tal nunca se verificou. Aliás, Sr. Presidente e Srs. Deputados, o Regimento é claro quanto a esta matéria. Fica claro que há um primeiro passo, ou seja, que a Assembleia se debruça sobre a concessão ou não da urgência e que só posteriormente se preocupa com o regime dessa mesma urgência. O que aqui se passou è algo de inaceitável, mas também deixa antever os artificialismos, as golpaças contra o próprio Regimento a que esta maioria é, capaz
150	P00144	P00001	148	Peço a palavra, Sr. Presidente.
151	P00001	P00144	150	Para que efeito, Sr.ª Deputada?
152	P00144	P00001	151	Sr. Presidente, faço-o para anunciar que faremos entrada na Mesa de uma declaração de voto por escrito.
153	P00001	P00002		Srs. Deputados, visto que foi dado provimento ao recurso interposto pelo PS, vamos proceder à votação do requerimento, cujo conteúdo já foi lido. Submetido à votação, foi aprovado, com votos a favor do PS, votos contra do PCP, do CDS, do MDP/CDE, dos deputados do PSD, Virgílio Pereira, Cecília Catarino, Correia de Jesus, Jardim Ramos, Pedro Paulo e Paulo Silva e do deputado independente António Gonzalez e abstenções do PSD e dos deputados do PS, Mota Torres e Avelino Rodrigues.
154	P00001	P00008	149	Entretanto, para interpelar a Mesa, tem a palavra o Sr. Deputado Jorge Lemos.
155	P00008	P00001	154	Sr. Presidente, quando V. Ex.ª anunciou a votação ou ia fazê-lo, eu tinha pedido a palavra para solicitar que houvesse uma contagem, bancada a bancada, porque temos dúvidas quanto ao resultado que foi anunciado pela Mesa. Ora, uma vez que tal não foi feito, requeiro a V. Ex.ª que se proceda à confirmação da votação, havendo uma contagem dos Srs. Deputados para efeitos de se apurar qual o real sentido da votação da Assembleia da República.
156	P00001	P00002		Assim faremos, Sr. Deputado. Portanto, vamos repetir a votação. Submetido de novo à votação, o requerimento foi aprovado, com 62 votos a favor (do PS), 49 votos contra (do PCP, do CDS, do MDP/CDE, dos deputados do PSD Virgílio Pereira, Cecília Catarino, Correia de Jesus, Jardim Ramos, Pedro Paulo e Paulo Silva, e do deputado independente António Gonzalez) e 22 abstenções (do PSD e dos deputados do PS Mota Torres e Avelino Rodrigues).
157	P00001	P00436	109	Para uma declaração de voto, tem a palavra o Sr. Deputado Raul e Castro.
158	P00436	P00002		Sr. Presidente, Srs. Deputados: Graças à continuação do «milagre da multiplicação dos pães», desta vez, através da forma passiva, o PSD veio permitir que um requerimento apresentado pelo PS fosse aprovado. Só, efectivamente, a abstenção da grande maioria dos Srs. Deputados do PSD, com excepção dos quatro Srs. Deputados da Região Autónoma da Madeira e de dois da Região Autónoma dos Açores, permitiu que este requerimento fosse aprovado. Votámos contra este requerimento porque, como há pouco referimos em idêntica declaração de voto, ele não tinha nenhum fundamento, como foi referido por todas as bancadas, inclusivamente pela decisão unânime da Mesa da Assembleia. Efectivamente, o requerimento vem inexplicavelmente ou por explicação de razões obscuras utilizar a tramitação normal de uma resolução à qual havia todo o interesse em que se seguisse o processo normal previsto no Regimento, ou seja, o processo de urgência.
159	P00001	P00123	62	Tem a palavra o Sr. Deputado José Luis Nunes.
160	P00123	P00001	159	Sr. Presidente, apresentámos este requerimento para permitir o exame em Comissão - sendo esta um órgão da Assembleia da República - das condições em que o processo de urgência pode, deve ou não, ser concedido. Obviamente que a Assembleia da Região Autónoma da Madeira, o Governo ou até qualquer Sr. Deputado ou grupo parlamentar que peçam um processo de urgência não são obrigados a indicarem os termos em que esse processo deve ser concedido. Na verdade, a Assembleia é que tem a faculdade de, se assim o entender, pedir uma ponderação em Comissão. Ora, foi isso o que se fez e nada mais.
161	P00001	P00138	79	Tem a palavra o Sr. Deputado José Magalhães.
162	P00138	P00002		Sr. Presidente, Srs. Deputados: Perante o mistério são fracas todas as palavras e, algumas, até bastante turvas, como aquelas que acabámos de ouvir. Na verdade, há 5 anos que todos temos o dever de conhecer a proposta que agora suscitou a polémica desencadeada pelo PS, nesta Assembleia, da forma que todos pudemos testemunhar e que é verdadeiramente lamentável. Há 5 anos que conhecemos o seu conteúdo. Desde 1971 que se sabe, em Portugal, que as ilhas Selvagens são uma reserva natural com todas as implicações legais que daí decorrem quanto à utilização daquele espaço e quanto à preservação da flora e da fauna aí existentes. Há muitos dias que está pendente na Assembleia da República a última versão desta proposta de lei, aprovada por unanimidade na Assembleia Regional. Na conferência de líderes, o PS, por amnésia ou por qualquer outra razão menos confessável, não deduziu qualquer oposição - em boa verdade, deve dizer-se que não podia deduzi-la - à inclusão na ordem do dia da apreciação deste processo de urgência. Este processo de urgência è, tal como o nome diz, um pedido para que a Assembleia da República considere que a apreciação desta proposta, que esperou 5 anos, deve ter lugar neste momento. Não è cedo, è talvez o tempo justo. E eis, então, que subitamente o PS descobriu uma nova peripécia, um novo incidente regimental, uma figura nunca antes vista que è, em rectificação e rasura às alegações iniciais do Sr. Deputado José Luís Nunes, a afirmação de que este incidente se dirimirá para o futuro e, para nosso prazer e riso, baixa à Comissão para apreciação das condições de tramitação, a pedido de quem tem dúvidas mesmo ao fim de 5 anos de reflexão. É de peso e è de estalo!
163	P00008	P00138	162	Sem dúvida!
164	P00138	P00002		Em todo o caso, a Assembleia da Região Autónoma da Madeira não está sujeita a estas fantasias ou a estes delíquios imaginativos de última hora de quem tem forçosamente outras razões. Hão-de estar alhures essas razões, Sr. Presidente e Srs. Deputados, mas o povo português não ficou a sabê-las. E coisa muito inquietante è que a população da Madeira também não fica a saber qual é o interesse tão poderoso dessas ilhas pequeníssimas do Atlântico que leva o PS, em associação não sabemos com quem nem em que condições, a introduzir todos os atropelos ao processo regimental de urgência para vir dizer aqui, ao fim de 5 anos, aquilo que ouvimos e que è desajeitado, trôpego, anti-regimental, violador de uma deliberação sensata tomada pela Mesa desta Assembleia. Que interesses poderosos levam a que estas pequeninas parcelas territoriais portuguesas no Atlântico motivem todo este veso, que não sei se não levará o PS a requerer a realização de uma reunião secreta da Comissão de Negócios Estrangeiros!...
165	P00008	P00138	164	Muito bem!
166	P00138	P00002		..., porque ao que parece é de uma reunião secreta da Comissão de Negócios Estrangeiros que o PS está a precisar e não de uma mera baixa à Comissão. Nós cremos que vai ser muito interessante, mas também preocupante, acompanhar a evolução deste episódio que seria caricato se não fosse gravíssimo. O meu grupo parlamentar vai propor que se fixe prazo certo para que esta baixa à Comissão não se transforme num relegar para as «calendas» desta medida, agora vergonhosamente adoptada com atropelo do Regimento da Assembleia da República. É o que faremos de imediato, Sr. Presidente, e é a justa resposta a um atropelo inaceitável.
167	P00010	P00138	166	Muito bem!
168	P00001	P00111	136	Também para uma declaração de voto, tem a palavra do Sr. Deputado Luís Beiroco.
169	P00111	P00002		Sr. Presidente, Srs. Deputados: Este debate que acabámos de travar tem certamente uma aparência e uma realidade. Ficámos pela aparência, tratando sucessivamente de várias questões processuais que se foram enxertando ao longo do debate. Já foi aqui referido que a realidade aparecerá mais tarde. No entanto, o que agora me parece importante sublinhar é que os partidos da coligação, incapazes de programarem os trabalhos da Assembleia da República e de se entenderem sobre as questões de fundo, mais uma vez tiveram que fazer uso de interpretações ad hoc, perfeitamente abusivas, do Regimento para saírem de uma dificuldade momentânea com que se defrontavam. Como há mar e mar, há ir e voltar, eu ainda hei-de ver os partidos da maioria arrependerem-se das interpretações abusivas do Regimento e virem depois invocar a estabilidade do Regimento...
170	P00008	P00111	169	Muito bem!
171	P00111	P00002		... quando porventura não lhes convier que se façam interpretações abusivas como aquela que acabaram de fazer.
172	P00105	P00111	171	É o papelatio!
173	P00008	P00111	171	Há que dar instruções com mais rigor!
174	P00001	P00123	160	Srs. Deputados, deu entrada na Mesa um requerimento, subscrito por vários Srs. Deputados do PCP, com o seguinte teor: Os deputados abaixo assinados, do Grupo Parlamentar do PCP, requerem ao abrigo das disposições regimentais aplicáveis, que o prazo para a apreciação da concessão da urgência para a proposta de lei n.º 92/III pela Comissão de Equipamento Social e Ambiente seja de 5 dias. Para interpelar a Mesa, tem a palavra o Sr. Deputado José Luís Nunes.
175	P00123	P00002		Quando se formulou o requerimento, que tive ocasião de formular, o prazo...
176	P00138	P00123	175	Não estava lá!
177	P00123	P00138	176	Estava, sim, Sr. Deputado. E estava regimentalmente...
178	P00138	P00123	177	Mentalmente!
179	P00123	P00002		Não é mentalmente, Sr. Deputado. Desde que não haja nenhuma referência ao prazo, é evidente que funciona o prazo supletivo de 30 dias. Portanto, não há que votar rigorosamente nada nem esse requerimento pode ser, sequer, admitido.
180	P00001	P00008	173	Tem a palavra o Sr. Deputado Jorge Lemos.
181	P00008	P00001	180	Sr. Presidente, queria, também em jeito de interpelação à Mesa, dizer a V. Ex.ª que esta interpelação do Sr. Deputado José Luís Nunes deve tratar-se de um equívoco dado que, não estando prevista no Regimento a figura que foi utilizada pelo Grupo Parlamentar do PS, também não pode estar previsto qualquer prazo supletivo. E é um direito de qualquer grupo parlamentar propor que o prazo de apreciação de qualquer matéria em comissão seja de 5 dias, 10 dias, 15 dias, l mês, 2 meses, 3 meses, o que a Assembleia deliberar.
182	P00138	P00008	181	V. Ex.ª esqueceu-se disso!
183	P00001	P00030	143	Também para interpelar a Mesa, tem a palavra o Sr. Deputado Lopes Cardoso.
184	P00030	P00002		Sr. Presidente, de facto, cada vez mais tendemos a entrar numa situação em que o melhor será solicitar à Imprensa Nacional--Casa da Moeda que não gaste tempo, dinheiro e papel a imprimir um novo Regimento; já que a maioria se propõe definir aqui, no dia-a-dia, o Regimento, não vale a pena continuarmos a fazer essa despesa. Sr. Presidente, Srs. Deputados: È evidente e óbvio, através da leitura do Regimento, que qualquer grupo parlamentar pode apresentar uma proposta no sentido de definir o prazo de baixa à Comissão.
